Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1949,9,15,1949-9-15,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Louise Dyer,"""[Guillaume] De Van's affairs are left in the greatest imaginable disorder and indecency. Of course there is no will. At present there is only a temporary provision by the Amalfi authorities in protection of the child and the numerous creditors. They have appointed the Duchess of Bagnoli as tutore. But actually nothing can be done until the American courts appoint a guardian and an administrator. We have urged the court to act speedily, and have asked for a quick appointment... The camera is with a creditor as security for one of the countless debts.""",University of Melbourne,"Editions de l'Oiseau-Lyre, Box 2016.0034 Unit 1",
1949,9,15,1949-9-15,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Richard S. Hill,"Carapetyan is not receiving ""Notes.""","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1949,10,17,1949-10-17,,,Richard S. Hill,Armen Carapetyan,"Hill notes that there have been issues with getting the ""Journal of Renaissance and Baroque Music"" in the Copyright Office; he offers details on Carapetyan not receiving ""Notes.""","University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1949,11,19,1949-11-19,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Otto Gombosi,"""[Adrian] Willaert I should be out by the end of the year, also [Claude] Le Jeune 1... Work will start on [Nicolas] Gombert first of the year"", ""[Karel Philippus] B[ernet] Kempers was here and discussed with me Cl[emens] non Papa. It is settled and 1950 will see at least 1 volume of it out."", ""For the rest it is only a matter of accepting [Heinrich] Besseler's protracting and procrastinating methods. [Friedrich] Blume and [Hans] Albrecht were here. They openly told me that Besseler is a hopeless ""putter-offer"", and in fact warned me to be firm with him. By the way, Albrecht took it upon himself to write once more to [Paul] Müller about [Alexander] Agricola when I myself had written that for me the only thing was a closed chapter so far as concerned Müller. (Today I received from Albrecht the copy of the letter in which he makes a valiant attempt to stir Müller to action).""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1947 to 1949",
1949,12,10,1949-12-10,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Otto Gombosi,"""With [Adrian] Willaert, [Nicolas] Gombert and Cl[emens] Non Papa, we are filling a large and important gap in the 16th century. I like very much to do some substantial filling in at the second half of the 15th century and at the turn of the 15th and 16th centuries,""  ""As to [Dragan] Plamenac and [Loyset] Compère, I only hope that Plamenac does not intend to practice again the transcriptional method of his [Johannes] Ockeghem edition"", ""[Heinrich] Besseler is in. He will carry on the [Guillaume] Dufay edition. Let us see now how many of those vociferous gentlemen will find occasion for the exercise of their howling vocal chords.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1947 to 1949",
1949,12,,1949-12,,,Armen Carapetyan,Knud Jeppesen,Carapetyan sends Jeppesen Christmas and New Year greetings.,The Royal Danish Library,Inaccessible 1974/105-1,
1949,,,1949,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Gustave Reese,"[Dictated by Carapetyan] Carapetyan thanks Reese for his response to the circular letter sent to members of the Advisory board. The third summer session is postponed to 1950. With respect to Reese's inquiry about Alexander Agricola, ""I promptly wrote to the editor [Paul Müller], but the habits in correspondence of this gentleman are rather strange – so also according to the experience of others.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 2, Folder 18 (Maldeghem and His Buried Treasure)",
1950,1,16,1950-1-16,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Hildegard Besseler,Carapetyan asks if Besseler would like to join her husband when he visits Florence.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 11,
1950,1,30,1950-1-30,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Otto Gombosi,"""Let me only say that from both sides of the Atlantic there have been expressions of indignation. A reply by me has to appear – unfortunately, since our collaborators must be protected, otherwise I should like to ignore the thing. And in this reply [Paul Henry] Lang has the advantage of various doubts, although I am not saying that my reply will be a happy reading for Lang. At all events, that was not the best way to substantiate the last words at parting: 'Remember, we want to help you!' I have had no other word from Lang since Basel. Mmma! as they are wont to say here."" ""Last month a young man, [Theodore] Karp, student of [Gustave] Reese and [Curt] Sachs, came to see me and to ask whether I had someone for [Loyset] Compère, otherwise he would like to take him for his dissertation and for transcription of the collected works with a view to publication. Since you said it was Reese who mentioned [Dragan] Plamenac – Compère, and since it was Reese who advised Karp to find out from me about Compère, the thing is a little puzzling. At all events one could not accept for publication in a serious series anything from a doctoral candidate without first seeing the work. And anyhow there another man, a competent musicologist, who has since long talked to me about Compère."" ""[Heinrich] Besseler will be here in a month or so and we shall discuss the rules of transcription.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,2,3,1950-2-3,"Via San Leonardo 70, Florence",Italy,Harriette Carapetyan,Hildegard Besseler,Carapetyan disappointed that Hildegard Besseler cannot join her husband (it appears owing to passport issues in the GDR); she asks if Besseler can send her clothing measurements; Armen [Carapetyan's] health is very bad.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 11,
1950,2,16,1950-2-16,,,Armen Carapetyan,Paul Henry Lang,"""It was only late in January that I read your amazing paragraph about me and the Institute, and I was at once reminded of your very last words to me at Basel when I was rushing off: 'Remember, we want to help you!' I also thought of your tactics in the case of [Jacques] Handschin. You nominated him for the presidency, you said with satisfaction, as 'the best way of getting rid of him.'""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,2,25,1950-2-25,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Hildegard Besseler,There has been a delay in Besseler's return to Heidelberg (from Jena).,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 11,
1950,2,25,1950-2-25,"Via San Leonardo 70, Florence",Italy,Harriette Carapetyan,Hildegard Besseler,Besseler travels back and forth between Heidelberg and Jena.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 11,
1950,2,25,1950-2-25,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Otto Gombosi,"""Whenever a quintessence of mildness and amiability like [Charles] van der Borren remains shocked and indignant, you can take it as a sure sign of things… I must confess that [Paul Henry] Lang's behaviour reminds one more of an S.S. trooper than anything else I have seen out of professional circles"", ""Willaert I goes to press in a week. Clemens [non Papa]'s Mass, 'Misericorde' is at the engravers. I suppose (I hope) [Guillaume] Dufay IV will be sent to you by [Richard] Hill for review.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,3,6,1950-3-6,"Via San Leonardo 70, Florence",Italy,Otto Gombosi,Armen Carapetyan,"""By the way, will you kindly forward a hint to [Hermann] Zenck: [Edward] Lowinsky found a motet manuscript in the Vallicelliana – it was among the prints and can be found by the printed catalogue, circa 1530, coming from the Baptistery of Florence and containing among many interesting items three unica of [Adrian] Willaert. Lowinsky read a paper about this manuscript at New York convention last Christmas.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,3,15,1950-3-15,,,Cornelis W. H. Lindenburg,Armen Carapetyan,"Carapetyan will appear on a list of members in the next ""Tijdschrift der Vereeniging voor Noord-Nederlands Muziekgeschiedenis"" volume.","The Hague City Archives, Nederlands Muziek Instituut","Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis Archives, Folder 325",
1950,3,16,1950-3-16,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Louise Dyer,Carapetyan asks about the state of Guillaume de Van's collected-works edition for Jacopo da Bologna.,University of Melbourne,"Editions de l'Oiseau-Lyre, Box 2016.0034 Unit 1",
1950,3,21,1950-3-21,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Otto Gombosi,"""Yesterday I received a letter from [Paul Henry] Lang in reply to mine (of which a copy to you last time). It is no good. The man has no intellectual honesty. But he is singularly lacking in astuteness, with all his shrewdness and predilection for politics"", ""[Paul] Müller's behavior has been most puzzling. [Hans] Albrecht made a last valiant effort, on his own initiative, but the man is unfathomable. He was even told by Albrecht he would have no assistance in Germany for its publication. We will be fully justified in bringing out our own edition.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,3,30,1950-3-30,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Curt Sachs,"""If the manner and the substance of Mr. [Paul Henry] Lang's self-styled reporting is the expression of the Board of the American Musicological Society and even of the Society itself, as is claimed by Mr. Lang, I find that it is only honorable that I request you to have my name withdrawn from the Society, of which I had the honor to become a member only some months ago.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 5, Folder 100 (Lang, Paul Henry)",
1950,3,31,1950-3-31,,,Otto Gombosi,Armen Carapetyan,"""[Donald J. Grout] assured me that if he would have had any inkling of the effect of [Paul Henry] Lang's report, he would have blue-penciled it.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,3,31,1950-3-31,,,Paul Henry Lang,Otto Gombosi,"""I trust that by now you have seen Brother Carapetyan's slightly hysterical 'Editorial.' I am preparing an answer in which I do not intend to take issue with him on all the silly things he says, but I do wish to comment on two things. 1/ his anonymous excerpts from letters à la Senator McCarthy, and his obvious attempt to play out you and [Manfred] Bukofzer against me. I have already several unsolicited letters, among them one from [Oliver] Strunk who indignantly denies that he was the individual mentioned in footnote 7; he did resign. Needless to say Manfred did not mince words as far as he is concerned. Among others [Leo] Schrade and [Heinrich] Besseler too have something pertinent to say. -- 2/ C[arapetyan] is making an obvious attempt to play you and Manfred against me. Now the meeting certainly did not take place at your suggestion because planned that in advance"", ""I have seen photostatic copies of the [Guillaume] de Van correspondence with Besseler and [Yvonne] Rockseth [sic.] and I can assure you that it is simply incredible.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1950 and undated",
1950,4,1,1950-4-1,,,Armen Carapetyan,Oliver Strunk,"""P.S. I wonder if Dr. [Alfred] Einstein knew that you took him into confidence together with Prof. [Heinrich] Besseler. Here you surely shut in the same room a Brahmin (from Einstein's standpoint) with an untouchable. I heard some violent words (to say the least) from Einstein regarding Besseler. And I cannot help thinking of Prof. [Leo] Schrade's triumphant announcement to me of his demarches in Washington against Besseler's reinstatement at Heidelberg (in which he apparently succeeded). I need not discuss the [Paul Henry] Lang-Schrade affair, the Schrade-Lowinsky conflict (which netted me [Edward] Lowinsky's uninteresting animosity), the warning of Einstein to me against Schrade, etc., etc. Professional strife will indeed bring about diverting ironies, and will strangely flock together birds of differing feathers."" ""P.S.2 Prof. Besseler, by the way, left here yesterday, after a visit of a week at my house.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 2, Folder 80",
1950,4,10,1950-4-10,,,Otto Gombosi,Paul Henry Lang,"The Basel meeting between Lang and Carapetyan was organized by Gombosi. ""Your report in JAMS rather brusquely shut this door."" ""As to the others, e.g., [Hans Joachim] Moser, I just can't see how one can possibly object to his publishing an article in Musica Disciplina and, at the same time, advocate Besseler's taking over the Dufay edition. Where do you draw the line?"" Lang's behavior is ""shenanigans.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
